DateTime,AddedIPs,RemovedIPs
1612832882,110,113
1612836241,548,556
1612840581,986,1095
1612847041,393,388
1612851610,27,97
1612852084,664,658
1612858178,363,363
1612862645,21,100
1612863603,448,444
1612868641,350,340
1612872380,0,511
1612873689,18,105
1612875123,294,294
1612878962,294,294
1612879441,288,305
1612882813,294,294
1612884754,23,121
1612886643,211,213
1612890241,305,304
1612891248,0,256
1612895751,26,125
1612898163,171,173
1612901182,342,338
1612906800,18,161
1612909923,134,150
1612911841,373,408
1612916191,55,18
1612917601,12,146
1612921442,132,941
1612922781,566,574
1612925282,916,73
1612928604,24,135
1612933441,522,514
1612936812,804,795
1612939658,19,121
1612944241,426,410
1612948323,509,499
1612950621,18,213
1612952162,154,154
1612955041,379,372
1612956002,154,154
1612959843,392,395
1612961765,35,213
1612965841,327,314
1612971362,184,186
1612972776,37,172
1612976641,323,323
1612982882,133,136
1612983841,31,142
1612987441,338,343
1612994474,112,114
1612994890,16,143
1612998686,314,319
1613002083,112,118
1613002586,269,52
1613005956,7,134
1613009041,550,556
1613009762,975,969
1613016916,14,138
1613019841,413,406
1613021283,802,798
1613027991,13,108
1613030641,358,354
1613032803,557,547
1613039064,21,121
1613041441,329,329
1613044322,312,311
1613048165,94,94
1613050290,17,126
1613052012,94,94
1613052321,353,601
1613052956,251,0
1613055842,262,262
1613056819,227,0
1613061196,23,114
1613063041,327,328
1613066463,0,253
1613067602,179,177
1613072161,12,111
1613073983,339,341
1613079362,126,128
1613083160,21,110
1613084641,288,290
1613088392,48,26
1613090883,90,93
1613094126,20,86
1613095489,704,705
1613098563,983,980
1613104879,13,91
1613106385,420,420
1613110082,732,733
1613115807,14,121
1613117467,357,352
1613118002,582,573
1613126730,13,91
1613127841,350,353
1613130385,0,256
1613133362,418,422
1613137676,23,88
1613138641,364,361
1613141043,186,185
1613148711,19,88
1613149541,339,339
1613152875,170,168
1613159757,26,99
1613160241,447,452
1613164562,135,138
1613170692,32,77
1613171182,334,332
1613174499,34,26
1613176083,94,101
1613181570,13,81
1613181841,860,860
1613187602,987,972
1613192427,16,86
1613193101,451,453
1613202962,644,641
1613203442,14,82
1613203879,459,460
1613210475,500,494
1613214367,396,467
1613221922,162,162
1613225319,330,390
1613228608,0,254
1613229602,61,61
1613233443,188,190
1613235841,286,280
1613236319,20,66
1613244962,149,148
1613246641,315,309
1613247211,17,61
1613256482,137,137
1613257441,297,294
1613258205,16,84
1613260909,15,27
1613264163,120,978
1613265676,0,224
1613268241,505,522
1613269188,18,60
1613279041,533,534
1613280201,16,62
1613283362,887,108
1613291043,619,595
1613291214,21,64
1613298722,277,260
1613302309,17,65
1613310242,218,203
1613313376,16,51
1613314082,223,211
1613324269,13,41
1613325613,184,177
1613335203,24,60
1613340962,193,189
1613343841,21,21
1613344802,75,77
1613346232,11,56
1613347580,21,15
1613348643,77,75
1613352723,60,976
1613354642,1997,1982
1613356562,942,25
1613357305,17,60
1613365441,707,709
1613368082,801,794
1613368282,21,53
1613376241,410,405
1613379309,18,48
1613379612,577,569
1613387175,348,352
1613390453,31,57
1613391371,405,402
1613397841,389,395
1613401438,18,37
1613402882,188,197
1613412374,25,35
1613414403,604,612
1613423041,310,311
1613423472,16,37
1613425922,130,126
1613433841,299,302
1613434475,37,72
1613437443,99,99
1613441283,986,970
1613445808,591,624
1613455441,349,347
1613456642,796,795
1613456715,24,46
1613464322,630,624
1613466241,336,350
1613467648,19,44
1613468162,159,161
1613477041,355,354
1613478664,17,38
1613479682,403,400
1613484950,505,0
1613487362,186,188
1613487841,259,263
1613489753,19,47
1613499122,381,381
1613500697,11,34
1613503871,254,0
1613509441,267,261
1613510643,123,126
1613511807,16,47
1613520659,316,297
1613522847,17,45
1613529842,974,960
1613531152,475,477
1613533889,20,16
1613541362,800,793
1613542182,348,355
1613544939,16,18
1613552882,776,771
1613556030,26,22
1613556722,158,157
1613560562,157,158
1613563441,323,319
1613564402,424,425
1613565991,0,253
1613566991,9,18
1613568243,322,320
1613572084,320,322
1613574241,306,307
1613575273,0,250
1613575923,210,211
1613578011,27,9
1613585041,218,222
1613587442,164,167
1613589118,15,8
1613595841,225,226
1613598962,99,101
1613600165,13,41
1613606641,240,241
1613607068,469,15
1613611150,16,30
1613614323,966,969
1613617518,479,483
1613622279,16,35
1613626082,816,796
1613628241,308,332
1613633282,20,33
1613633762,257,256
1613637603,302,295
1613639041,298,302
1613641443,297,301
1613644291,22,24
1613649363,301,297
1613649841,273,277
1613650582,0,252
1613653212,332,322
1613654614,251,248
1613655071,18,44
1613660883,514,510
1613665275,1,0
1613666382,11,37
1613671441,294,300
1613672402,178,176
1613677454,22,29
1613682380,246,246
1613684162,113,115
1613688469,20,48
1613693041,503,412
1613699331,17,42
1613699763,122,122
1613703843,983,978
1613704087,532,545
1613710315,17,31
1613714641,326,319
1613715362,763,755
1613721391,18,45
1613723043,229,227
1613725441,317,318
1613732566,16,44
1613736375,289,293
1613738403,468,473
1613742242,164,164
1613743717,15,28
1613747202,289,288
1613749922,180,181
1613752852,0,256
1613754719,14,35
1613757629,213,211
1613757841,326,324
1613765710,17,42
1613769123,454,462
1613776665,22,48
1613779441,305,306
1613780103,16,57
1613780882,111,113
1613787693,18,35
1613790385,586,598
1613792402,975,965
1613798559,23,36
1613801041,407,399
1613804162,737,729
1613809682,22,49
1613811843,194,200
1613811977,342,347
1613815683,456,443
1613819522,131,131
1613820694,15,38
1613822641,451,450
1613823371,131,131
1613827202,214,213
1613831043,83,82
1613831756,18,38
1613833686,352,352
1613838012,240,0
1613838723,183,187
1613842803,19,44
1613844241,300,297
1613850242,146,146
1613853564,21,38
1613855161,275,273
1613861762,159,170
1613864670,23,27
1613865841,326,558
1613869442,29,29
1613873283,983,959
1613875697,21,38
1613876641,496,511
1613880963,47,935
1613884803,983,87
1613886755,16,47
1613887441,536,593
1613888642,234,300
1613896322,471,426
1613897760,11,42
1613898241,509,573
1613904243,106,141
1613908322,421,304
1613908788,17,36
1613909042,407,428
1613919878,189,180
1613920704,317,319
1613923923,87,81
1613927762,81,87
1613931100,318,334
1613931842,250,220
1613935685,61,52
1613939523,52,61
1613941441,353,355
1613942026,27,49
1613943362,172,160
1613947202,48,45
1613951042,45,48
1613952389,361,329
1613953214,15,33
1613955122,167,156
1613958962,38,40
1613962812,983,964
1613963082,597,605
1613964169,25,26
1613970723,825,810
1613973841,429,436
1613975163,33,44
1613982242,463,450
1613984641,402,399
1613985991,18,27
